,,,,,,
This file is a look up table to be used for EUI/RUI for 3D organ models from Visible human female and male produced by Kristen Browne NIH/NIAID on behalf of HuBMAP MC-IU collaboration.,,,,,,
The look up table was prepared by Ellen M. Quardokus (HuBMAP MC-IU team).,,,,,,
Models used are v1.0 uploaded for Nature Cell Biology submission,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
extraction_set_for,extraction_set_id,extraction_set_label,source_spatial_entity,node_name,label,tooltip
,,,#VHFemaleOrgans,VH_F_heart_extraction_sites,Heart extraction sites,
,,,#VHFemaleOrgans,VH_F_heart_SPARC_extraction_sites,SPARC heart extraction sites,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_apical_septum,apical septum,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_AVN,AV (atrioventricular) node,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_basal_ant_LV,basal anterior left ventricle,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_basal_inf_LV,basal inferior left ventricle,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_basal_lateral_LV,basal lateral left ventricle,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_basal_septum,basal septum,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_base_of_LAA,base of left aortic arch,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_IVCIAGP,inferior vena cava–inferior atrial ganglionated plexi,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_LAA,left aortic arch,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_LV_apex,left ventricle apex,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_mid_ant_LV,mid anterior left ventricle,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_mid_inf_LV,mid inferior left ventricle,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_mid_lateral_LV,mid lateral left ventricle,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_mid_septum,mid septum,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_mitral_valve,mitral valve,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_papillary_muscle,papillary muscle,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_posterior_LA,posterior left atrium,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_RA_trabeular_myocardium,right atrium trabecular myocardium,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_RAA,right aortic arch,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_RAGP,right atrial ganglionated plexus,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_RV_free_wall,right ventricular free wall,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_RV_inflow,right ventricular inflow,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_RVOT,right ventricular outflow tract ,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_sinus_venarum,sinus venarum,
#VHFHeartV1.1,#VHFHeartSPARCSet1,SPARC,#VHFemaleOrgans,VH_F_heart_SPARC_VIVGP,ventral interventricular ganglionated plexi,
,,,#VHFemaleOrgans,VH_F_heart_HuBMAP_extraction_sites,HuBMAP heart extraction sites,
#VHFHeartV1.1,#VHFHeartHBMSet1,HuBMAP,#VHFemaleOrgans,VH_F_heart_HuBMAP_RA_AV_node,"Right atrium, AV (atrioventricular) node",
#VHFHeartV1.1,#VHFHeartHBMSet1,HuBMAP,#VHFemaleOrgans,VH_F_heart_HuBMAP_RA_SA_node,"Right atrium, SA (sinoatrial) node",
#VHFHeartV1.1,#VHFHeartHBMSet1,HuBMAP,#VHFemaleOrgans,VH_F_heart_HuBMAP_LA_inflow,"Left atrium, PV inflow",
#VHFHeartV1.1,#VHFHeartHBMSet1,HuBMAP,#VHFemaleOrgans,VH_F_heart_HuBMAP_LA_appendage,"Left atrium, appendage",
#VHFHeartV1.1,#VHFHeartHBMSet1,HuBMAP,#VHFemaleOrgans,VH_F_heart_HuBMAP_RA_appendage,Right atrium appendage,
#VHFHeartV1.1,#VHFHeartHBMSet1,HuBMAP,#VHFemaleOrgans,VH_F_heart_HuBMAP_RV_free_wall_3cm_fr_apex,"Right ventricle, free wall 3cm from apex",
#VHFHeartV1.1,#VHFHeartHBMSet1,HuBMAP,#VHFemaleOrgans,VH_F_heart_HuBMAP_septum_3cm_fr_apex_including_LAD,"Septum, 3cm from apex including LAD",
#VHFHeartV1.1,#VHFHeartHBMSet1,HuBMAP,#VHFemaleOrgans,VH_F_heart_HuBMAP_LV_free_wall_3cm_fr_apex,"Left ventricle, free wall 3cm from apex",
#VHFHeartV1.1,#VHFHeartHBMSet1,HuBMAP,#VHFemaleOrgans,VH_F_heart_HuBMAP_LV_apex,"Left ventricle, apex",
#VHFHeartV1.1,#VHFHeartHBMSet1,HuBMAP,#VHFemaleOrgans,VH_F_heart_HuBMAP_posterior_AV_junction_inc_coronary_sinus,"Posterior, adjacent to coronary sinus",
,,,#VHFemaleOrgans,VH_F_heart_Pei_extraction_sites,Pei heart extraction sites,
#VHFHeartV1.1,#VHFHeartPeiSet1,Pei,#VHFemaleOrgans,VH_F_heart_Pei_aortic_root,aortic root,
#VHFHeartV1.1,#VHFHeartPeiSet1,Pei,#VHFemaleOrgans,VH_F_heart_Pei_left_atrium,left atrium,
#VHFHeartV1.1,#VHFHeartPeiSet1,Pei,#VHFemaleOrgans,VH_F_heart_Pei_LV_free_wall,left ventricle free wall,
#VHFHeartV1.1,#VHFHeartPeiSet1,Pei,#VHFemaleOrgans,VH_F_heart_Pei_RA_AV_node,right atrium AV node,
#VHFHeartV1.1,#VHFHeartPeiSet1,Pei,#VHFemaleOrgans,VH_F_heart_Pei_RA_SA_node,left atrium SA node,
#VHFHeartV1.1,#VHFHeartPeiSet1,Pei,#VHFemaleOrgans,VH_F_heart_Pei_right_atrium,right atrium,
#VHFHeartV1.1,#VHFHeartPeiSet1,Pei,#VHFemaleOrgans,VH_F_heart_Pei_RV_free_wall,right ventricle free wall,
#VHFHeartV1.1,#VHFHeartPeiSet1,Pei,#VHFemaleOrgans,VH_F_heart_Pei_septum,septum,
,,,#VHFemaleOrgans,VH_F_heart_HCA_extraction_sites,HCA heart extraction sites,
#VHFHeartV1.1,#VHFHeartHCASet1,HCA,#VHFemaleOrgans,VH_F_heart_HCA_apex,apex,
#VHFHeartV1.1,#VHFHeartHCASet1,HCA,#VHFemaleOrgans,VH_F_heart_HCA_left_atrium,left atrium,
#VHFHeartV1.1,#VHFHeartHCASet1,HCA,#VHFemaleOrgans,VH_F_heart_HCA_left_ventricle_free_wall,left ventricle free wall,
#VHFHeartV1.1,#VHFHeartHCASet1,HCA,#VHFemaleOrgans,VH_F_heart_HCA_septum,septum,
#VHFHeartV1.1,#VHFHeartHCASet1,HCA,#VHFemaleOrgans,VH_F_heart_HCA_right_atrium,right atrium,
#VHFHeartV1.1,#VHFHeartHCASet1,HCA,#VHFemaleOrgans,VH_F_heart_HCA_right_ventricle,right  ventricle,
